Carat,Colour,Clarity,Cut*,Certification,Polish,Symmetry,Price,Wholesaler
0.92,I,SI2,G,AGS,V,V,3000,1
0.92,I,SI2,V,AGS,G,G,3000,1
0.82,F,SI2,I,GIA,X,X,3004,1
0.81,G,SI1,I,GIA,X,V,3004,1
0.9,J,VS2,V,GIA,V,V,3006,1
0.87,F,SI2,I,AGS,G,V,3007,1
0.8,D,SI2,I,GIA,V,V,3008,1
0.84,F,SI1,G,GIA,V,V,3010,1
0.8,D,SI2,V,GIA,V,V,3012,1
0.8,D,SI2,V,GIA,V,X,3012,1
0.85,G,SI2,I,GIA,V,V,3014,1
0.83,G,SI2,I,GIA,X,X,3014,1
0.82,H,VS1,G,AGS,G,V,3015,1
0.82,G,SI1,I,GIA,X,X,3015,1
0.8,F,SI1,V,GIA,V,V,3022,1
0.91,J,SI1,V,GIA,V,V,3023,1
0.81,F,SI1,V,AGS,V,V,3027,1
0.9,I,SI1,V,GIA,X,V,3028,1
0.81,E,SI2,I,GIA,V,X,3029,1
0.81,E,SI2,I,GIA,X,X,3029,1
0.81,E,SI2,I,GIA,G,G,3031,1
0.8,I,VS1,I,AGS,I,I,3031,1
0.8,I,VS1,I,AGS,I,I,3031,1
0.8,G,SI1,I,GIA,X,V,3035,1
0.81,H,SI1,V,GIA,G,V,3036,1
0.91,H,SI2,G,GIA,V,G,3038,1
0.83,D,SI2,G,GIA,G,G,3041,1
0.83,I,VS2,V,GIA,G,G,3041,1
0.88,I,SI1,I,AGS,I,I,3042,1
0.9,G,SI2,F,GIA,V,V,3043,1
0.9,H,SI2,V,GIA,V,G,3043,1
0.9,G,SI2,F,GIA,G,V,3043,1
0.91,I,SI2,I,GIA,V,V,3044,1
0.81,D,SI2,V,GIA,G,G,3044,1
0.81,F,SI1,V,GIA,X,X,3049,1
0.85,E,SI2,I,GIA,V,X,3051,1
0.85,F,SI2,V,AGS,G,G,3051,1
0.81,E,SI2,V,GIA,V,G,3051,1
0.81,I,VS1,I,AGS,I,I,3053,1
0.8,F,SI1,V,GIA,G,G,3053,1
0.9,H,SI2,F,GIA,V,G,3056,1
0.81,I,VS1,G,GIA,G,G,3057,1
0.8,H,VS1,V,GIA,V,V,3059,1
0.8,E,SI2,V,GIA,V,V,3062,1
0.9,J,VS2,G,AGS,X,X,3064,1
0.8,E,SI2,V,GIA,V,G,3064,1
0.8,I,VS1,I,GIA,X,V,3067,1
0.9,I,SI2,G,GIA,V,V,3069,1
0.9,I,SI2,V,GIA,V,V,3069,1
0.8,E,SI2,V,GIA,X,V,3071,1
0.82,H,SI1,V,GIA,G,G,3072,1
0.81,G,SI2,I,GIA,V,V,3079,1
0.81,E,SI1,V,GIA,X,X,3079,1
0.8,H,VS2,I,AGS,I,I,3080,1
0.9,F,SI2,F,GIA,v,G,3081,1
0.9,I,SI1,G,GIA,V,G,3081,1
0.82,I,VS2,I,GIA,X,X,3085,1
0.8,H,SI1,V,GIA,V,V,3086,1
0.91,H,SI2,F,GIA,V,V,3089,1
0.92,J,SI1,V,GIA,V,V,3091,1
1,L,SI3,F,EGL,F,F,1856,2
1.06,L,SI3,F,EGL,G,G,1892,2
1,K,I2,F,GIA,V,V,1918,2
1.01,G,I2,F,GIA,G,V,1929,2
1.04,J,I1,G,EGL,G,G,1966,2
1.05,J,I1,G,EGL,V,G,1985,2
1.23,I,I2,G,GIA,G,F,1988,2
1.18,H,I2,F,DOW,G,F,2031,2
1.02,I,I2,X,GIA,G,G,2035,2
1,I,I2,F,GIA,G,V,2045,2
1,L,I1,X,GIA,X,G,2049,2
1.05,H,I2,X,GIA,V,V,2065,2
1,G,I1,F,EGL,G,F,2070,2
1.02,J,I1,F,EGL,G,G,2100,2
1,H,SI3,F,EGL,F,F,2101,2
1,F,I1,I,EGL,G,G,2128,2
1.01,F,I1,X,EGL,G,G,2149,2
1.01,L,SI3,I,EGL,G,G,2156,2
1.04,F,I2,X,GIA,G,G,2162,2
1,H,I1,F,EGL,G,F,2168,2
1,I,I1,F,EGL,G,G,2170,2
1.01,I,I1,F,EGL,G,G,2192,2
1.01,I,I1,F,EGL,G,F,2192,2
1.1,I,I2,I,GIA,V,F,2195,2
1.02,I,I1,F,EGL,G,F,2213,2
1,K,I1,X,GIA,V,G,2226,2
1,J,I1,F,EGL,G,G,2228,2
1,E,I1,G,EGL,G,G,2243,2
1.01,E,I2,G,EGL,V,G,2252,2
1.21,L,I2,X,GIA,G,G,2263,2
1,K,SI3,X,EGL,G,V,2288,2
1.16,I,I1,F,EGL,G,G,2292,2
1.17,H,I2,X,GIA,V,V,2301,2
1,F,I1,F,EGL,V,G,2306,2
1.04,K,I1,X,EGL,V,V,2308,2
1,J,SI3,F,EGL,G,G,2310,2
1,E,I2,X,GIA,G,G,2316,2
1.01,H,I1,X,EGL,V,X,2321,2
1.09,G,I2,X,GIA,G,G,2330,2
1.02,K,SI3,V,EGL,G,G,2333,2
1.05,F,I2,G,GIA,F,F,2338,2
1.1,G,I2,X,GIA,V,V,2351,2
1,F,I1,G,EGL,G,G,2359,2
1.06,F,I2,G,GIA,G,V,2360,2
1.01,G,I1,G,EGL,V,V,2363,2
1.01,G,I1,I,EGL,V,V,2363,2
1,I,I1,F,EGL,G,G,2364,2
1.03,H,I1,I,EGL,V,V,2367,2
1.15,J,I1,F,EGL,G,G,2368,2
1,K,SI2,X,EGL,G,G,2380,2
1,K,SI2,F,EGL,G,F,2380,2
1.01,F,I1,X,EGL,G,V,2382,2
1.07,L,SI3,X,EGL,G,G,2386,2
1.04,H,I1,I,EGL,V,X,2390,2
1.25,J,I2,F,GIA,G,G,2397,2
1.05,I,I1,F,GIA,G,G,2413,2
1.09,K,I1,X,GIA,G,G,2427,2
1.14,L,I2,X,GIA,V,V,2437,2
1.11,G,I2,X,GIA,G,G,2438,2
1.21,K,SI3,F,EGL,G,G,2446,2
1,E,SI3,F,EGL,G,G,3080,2
1.03,G,I1,X,GIA,V,G,3082,2
1.03,G,I1,F,GIA,G,V,3082,2
1.21,J,I1,X,GIA,G,G,3083,2
1.04,G,I1,I,GIA,V,G,3084,2
1.19,H,I1,F,EGL,V,G,3085,2
1.01,H,SI2,G,EGL,V,V,3086,2
1.04,J,SI1,X,EGL,V,X,3089,2
1.02,H,I1,X,GIA,G,F,3089,2
1.2,I,I1,F,EGL,V,G,3093,2
1.2,I,I1,F,EGL,G,G,3093,2
1.02,K,VS2,I,EGL,X,X,3093,2
1.04,F,SI3,I,EGL,V,X,3093,2
1.01,E,I1,G,GIA,X,V,3098,2
1,G,I1,X,GIA,X,V,3101,2
1.01,I,SI2,G,EGL,V,G,3102,2
1,E,SI3,X,EGL,G,G,3105,2
1.01,D,I1,F,GIA,V,G,3107,2
1.43,I,I2,X,GIA,G,G,3108,2
1,J,SI2,X,EGL,G,G,3108,2
1,J,SI2,I,EGL,V,X,3108,2
1,J,SI2,X,EGL,V,G,3108,2
1.11,K,SI2,X,GIA,V,V,3108,2
1.01,G,I1,X,GIA,G,G,3108,2
1.01,F,SI3,I,EGL,V,G,3111,2
1.01,J,SI1,X,EGL,V,X,3111,2
1.14,E,I1,G,EGL,G,G,3112,2
1.12,G,I1,X,GIA,V,V,3112,2
1,J,SI1,X,EGL,V,G,3114,2
1.01,G,SI3,X,EGL,G,G,3118,2
1.02,D,SI3,I,EGL,X,X,3119,2
1.11,I,SI2,X,EGL,V,G,3122,2
1.1,H,I1,X,GIA,V,V,3124,2
1.13,K,VS1,X,EGL,G,V,3124,2
1,J,SI2,F,GIA,G,F,3125,2
1.26,K,I1,X,GIA,V,G,3125,2
1,D,I1,G,EGL,G,G,3126,2
1,D,I1,X,EGL,G,V,3126,2
1,I,SI2,G,EGL,V,G,3127,2
1,I,SI2,G,EGL,V,V,3127,2
1.02,I,SI3,X,EGL,G,G,3130,2
1.01,K,SI2,X,GIA,X,V,3135,2
1,H,SI2,I,EGL,G,V,3135,2
1,H,SI2,G,EGL,G,G,3135,2
1,G,I1,I,GIA,G,G,3136,2
1.02,D,I1,F,EGL,G,V,3137,2
1.23,K,SI2,X,GIA,X,G,3137,2
1.01,G,SI2,F,EGL,G,V,3138,2
1.07,E,SI3,X,EGL,G,V,3138,2
1.01,J,SI2,X,EGL,V,V,3139,2
1.01,J,SI2,I,EGL,V,X,3139,2
1.01,J,SI2,X,EGL,V,V,3139,2
1.01,J,SI2,X,EGL,V,V,3139,2
1.01,J,SI2,I,EGL,V,X,3139,2
1.01,J,SI2,I,EGL,V,V,3139,2
1.01,J,SI2,X,EGL,G,V,3139,2
1.15,E,I1,X,EGL,V,V,3140,2
1.03,G,I1,X,GIA,G,G,3141,2
1.04,J,SI1,X,EGL,V,V,3142,2
1.01,J,SI1,G,EGL,G,V,3145,2
1.03,H,I1,X,EGL,G,G,2451,2
1,J,SI2,G,EGL,G,V,2452,2
1.15,J,SI3,G,EGL,G,G,2467,2
1.01,J,SI2,I,EGL,V,X,2476,2
1,E,I1,F,EGL,V,G,2486,2
1.12,K,I1,F,GIA,G,F,2493,2
1.01,E,I2,X,GIA,G,G,2495,2
1.03,K,SI3,I,EGL,G,G,2511,2
1.01,E,I1,X,EGL,G,V,2511,2
1.01,E,I1,G,EGL,G,G,2511,2
1.01,E,I1,X,EGL,G,G,2511,2
1.22,K,I1,F,EGL,V,G,2516,2
1.2,G,I2,X,GIA,G,G,2565,2
1.1,G,I1,X,EGL,V,V,2574,2
1.16,J,I1,V,EGL,G,G,2584,2
1.02,E,I1,X,EGL,V,V,2586,2
1.23,L,I1,X,GIA,G,G,2586,2
1,J,SI2,F,EGL,V,G,2591,2
1.01,F,SI3,X,EGL,V,V,2600,2
1.19,H,I2,X,GIA,G,G,2600,2
1.02,H,I1,F,EGL,G,F,2601,2
1.33,L,SI3,X,EGL,G,V,2607,2
1.1,F,I2,X,GIA,V,V,2617,2
1.58,K,I2,F,GIA,F,F,2620,2
1.04,K,I1,X,GIA,G,G,2625,2
1.01,J,SI3,X,EGL,V,V,2625,2
1,H,I1,G,GIA,G,G,2625,2
1.02,G,I1,I,EGL,V,X,2625,2
1.02,K,SI2,X,EGL,V,V,2629,2
1.01,H,SI3,F,EGL,G,F,2640,2
1.01,I,I1,X,GIA,V,G,2651,2
1.01,J,SI3,F,EGL,G,G,2654,2
1,L,VS2,F,GIA,G,G,2655,2
1,I,SI3,F,EGL,G,G,2660,2
1.01,K,SI1,F,EGL,V,G,2668,2
1,G,SI3,F,EGL,F,F,2678,2
1,K,SI2,I,GIA,V,V,2682,2
1.14,F,I1,I,EGL,V,V,2689,2
1,K,SI1,G,EGL,G,V,2689,2
1.01,D,I1,X,EGL,V,X,2692,2
1.03,D,I1,X,EGL,G,V,2692,2
1.03,D,I1,F,EGL,G,G,2692,2
1.05,J,I1,X,GIA,V,G,2693,2
1.41,K,I2,X,GIA,G,G,2704,2
1.16,D,I2,F,GIA,G,G,2714,2
1.01,K,SI1,I,EGL,V,X,2716,2
1,E,I1,G,EGL,G,G,2730,2
1,K,SI2,X,GIA,V,V,2745,2
1,J,SI2,F,EGL,G,F,2745,2
1.06,F,I1,F,EGL,G,G,2745,2
1.01,E,I1,X,EGL,G,V,2757,2
1.12,L,SI2,G,EGL,G,G,2765,2
1.07,L,SI2,X,GIA,V,V,2770,2
1.04,D,I1,I,EGL,X,X,2772,2
1,J,SI2,X,EGL,V,V,2772,2
1.1,G,I1,X,EGL,G,V,2772,2
1.16,F,I1,X,GIA,G,F,2775,2
1,G,I1,X,GIA,V,V,2779,2
1,J,SI1,F,EGL,V,G,2780,2
1,J,SI1,F,EGL,G,F,2780,2
0.09,D,SI1,X,IGI,G,G,190,3
0.09,E,SI1,I,IGI,G,G,160,3
0.09,F,SI1,I,IGI,V,G,160,3
0.09,E,SI1,I,IGI,G,G,180,3
0.09,E,VS1,I,IGI,V,G,190,3
0.1,E,VS2,V,IGI,V,G,330,3
0.1,F,VS1,V,IGI,G,G,180,3
0.1,E,VS2,X,IGI,G,G,180,3
0.1,F,VS2,X,IGI,V,G,180,3
0.1,F,SI1,X,IGI,G,G,190,3
0.1,F,SI1,X,IGI,G,G,160,3
0.1,E,SI1,V,IGI,G,G,160,3
0.1,E,SI2,G,IGI,V,G,190,3
0.1,E,VS1,V,IGI,G,G,180,3
0.1,E,VS1,X,IGI,G,G,180,3
0.1,F,SI1,V,IGI,G,G,180,3
0.1,F,VS1,X,IGI,G,G,180,3
0.1,E,VS2,V,IGI,G,G,180,3
0.11,F,SI1,G,IGI,G,G,160,3
0.11,F,VS2,G,IGI,G,G,190,3
0.11,E,SI1,X,IGI,G,G,160,3
0.11,F,VS2,V,IGI,V,V,180,3
0.11,F,SI1,I,IGI,V,G,180,3
0.2,F,SI1,X,IGI,G,G,320,3
0.21,G,SI1,V,IGI,G,G,330,3
0.21,F,SI1,I,IGI,G,G,330,3
0.21,E,VS2,V,IGI,V,G,340,3
0.21,E,VVS2,X,IGI,V,G,320,3
0.21,F,SI1,X,IGI,V,V,330,3
0.21,F,VS2,X,IGI,G,G,340,3
0.21,E,VS2,I,IGI,V,G,340,3
0.22,E,SI1,I,IGI,G,G,360,3
0.22,F,SI1,V,IGI,G,G,330,3
0.22,D,SI1,X,IGI,G,G,340,3
0.22,F,SI1,V,IGI,G,G,330,3
0.22,E,SI1,I,IGI,V,V,340,3
0.23,E,SI1,V,IGI,V,V,404,3
0.23,F,VVS2,X,GIA,V,V,665,3
0.23,F,SI1,X,IGI,G,G,360,3
0.23,E,SI1,I,IGI,G,G,360,3
0.23,F,VS2,X,IGI,V,G,360,3
0.23,F,SI1,V,IGI,G,G,340,3
0.23,F,SI1,X,IGI,G,G,360,3
0.27,E,VS2,I,GIA,V,V,594,3
0.28,E,VVS2,X,GIA,V,X,658,3
0.28,E,VVS2,X,GIA,V,X,658,3
0.3,I,I1,I,GIA,G,V,372,3
0.3,J,SI2,V,GIA,V,V,439,3
0.3,I,SI2,X,GIA,V,V,466,3
0.3,I,SI2,V,GIA,G,V,466,3
0.3,D,I1,X,GIA,V,V,466,3
0.3,J,SI1,V,GIA,G,X,466,3
0.3,J,SI1,G,GIA,X,X,466,3
0.3,J,SI1,V,GIA,X,V,466,3
0.3,K,VS1,V,GIA,X,V,466,3
0.3,J,VS2,F,GIA,V,V,468,3
0.3,I,SI2,V,GIA,G,V,476,3
0.3,I,SI2,I,GIA,X,X,476,3
0.3,J,SI1,X,GIA,V,G,476,3
0.3,J,SI1,V,GIA,X,V,476,3
0.3,J,SI1,X,GIA,X,G,476,3
0.3,J,SI1,X,GIA,V,V,476,3
0.3,J,SI1,G,GIA,V,V,476,3
0.3,D,I1,X,GIA,V,V,490,3
0.3,H,SI2,G,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,I,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,I,SI1,I,GIA,V,V,493,3
0.3,G,SI2,G,GIA,G,G,493,3
0.3,J,VS2,X,GIA,V,V,493,3
0.3,J,VS2,V,GIA,V,V,493,3
0.3,J,VS2,V,GIA,G,V,493,3
0.3,J,VS2,I,GIA,V,V,493,3
0.3,J,VS2,V,GIA,V,V,493,3
0.3,J,VS2,X,GIA,V,V,493,3
0.3,H,SI2,G,GIA,X,X,504,3
0.3,H,SI2,V,GIA,X,V,504,3
0.3,H,SI2,X,GIA,X,X,504,3
0.3,H,SI1,F,GIA,V,X,519,3
0.3,H,SI1,V,GIA,V,V,519,3
0.3,E,SI2,X,GIA,G,G,519,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,G,V,520,3
0.3,F,SI2,X,GIA,V,G,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,I,GIA,G,V,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,G,SI2,X,GIA,X,V,520,3
0.3,G,SI2,I,GIA,V,V,520,3
0.3,G,SI2,I,GIA,V,V,520,3
0.3,I,SI1,V,GIA,X,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,X,520,3
0.3,I,SI1,V,GIA,X,X,520,3
0.3,F,SI2,I,GIA,G,G,520,3
0.3,F,SI2,V,GIA,V,X,520,3
0.3,G,SI2,G,GIA,V,V,520,3
0.3,G,SI2,V,GIA,X,V,520,3
0.3,G,SI2,X,GIA,V,V,520,3
0.3,G,SI2,X,GIA,V,V,520,3
0.3,G,SI2,V,GIA,G,V,520,3
0.3,I,SI1,G,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,G,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,F,GIA,G,V,520,3
0.3,I,SI1,X,GIA,V,G,520,3
0.3,I,SI1,I,GIA,G,G,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,X,GIA,X,V,520,3
0.3,J,VS1,V,GIA,X,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,X,520,3
0.3,J,VS1,X,GIA,V,X,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,X,GIA,G,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,G,GIA,X,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,X,GIA,X,X,520,3
0.3,J,VS1,I,GIA,V,G,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,I,GIA,V,V,520,3
0.3,K,VVS2,X,GIA,V,V,520,3
0.3,G,SI2,I,GIA,X,V,531,3
0.3,I,SI1,X,GIA,V,V,531,3
0.3,I,SI1,V,GIA,G,V,531,3
0.3,I,SI1,I,GIA,V,V,531,3
0.3,I,SI1,X,GIA,X,V,531,3
0.3,D,SI2,G,GIA,V,V,544,3
0.3,G,SI1,V,GIA,V,V,544,3
0.3,E,SI2,I,GIA,X,X,547,3
0.3,E,SI2,X,GIA,X,V,547,3
0.3,H,SI1,G,GIA,X,X,547,3
0.3,H,SI1,V,GIA,V,G,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,G,G,547,3
0.3,H,SI1,I,GIA,X,X,547,3
0.3,H,SI1,V,GIA,V,G,547,3
0.3,I,VS2,X,GIA,X,V,547,3
0.3,E,SI2,V,GIA,G,G,547,3
0.3,E,SI2,V,GIA,X,X,547,3
0.3,E,SI2,V,GIA,G,V,547,3
0.3,E,SI2,V,GIA,V,V,547,3
0.3,H,SI1,G,GIA,V,G,547,3
0.3,H,SI1,V,GIA,G,X,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,X,547,3
0.3,H,SI1,X,GIA,G,G,547,3
0.3,H,SI1,X,GIA,G,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,X,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,I,GIA,G,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,I,VS2,V,GIA,V,X,547,3
0.3,I,VS2,X,GIA,V,V,547,3
0.3,I,VS2,X,GIA,X,X,547,3
0.3,I,VS2,I,GIA,V,V,547,3
0.3,I,VS2,V,GIA,X,V,547,3
0.3,I,VS2,V,GIA,V,V,547,3
0.3,I,VS2,I,GIA,V,V,547,3
0.3,I,VS2,X,GIA,V,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,I,VS2,X,GIA,V,X,547,3
0.3,I,VS2,X,GIA,X,V,547,3
0.3,I,VS2,I,GIA,G,V,547,3
0.3,I,VS2,I,GIA,G,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,K,VVS1,X,GIA,X,V,547,3
0.3,K,VVS1,V,GIA,X,V,547,3
0.3,H,SI1,G,GIA,V,V,559,3
0.3,H,SI1,X,GIA,V,V,559,3
0.3,H,SI1,V,GIA,X,X,559,3
0.3,H,SI1,X,GIA,V,X,559,3