YEAR,MBBL
1960,20.990
1961,22.450
1962,24.350
1963,26.130
1964,28.180
1965,30.330
1966,32.960
1967,35.390
1968,38.630
1969,41.700
1970,45.886
1971,48.518
1972,51.138
1973,55.679
1974,55.716
1975,52.828
1976,57.344
1977,59.707
1978,60.158
1979,62.674
1980,59.558
1981,56.050
1982,53.454
1983,53.257
1984,54.499
1985,53.966
1986,56.199
1987,56.627
1988,58.692
1989,59.791
1990,60.492
1991,60.188
1992,60.115
1993,60.168
1994,61.103
1995,62.385
1996,63.752
1997,65.744
1998,66.966
1999,65.922
2000,68.495
2001,68.099
2002,67.158
2003,69.433
2004,72.476
2005,73.718
2006,73.430
2007,72.988
2008,73.671
2009,72.314